category,condition,brand,price
phone,excellent,Apple,56000
phone,excellent,Apple,52000
phone,excellent,Apple,59000
phone,good,Apple,43000
phone,good,Apple,41000
phone,excellent,Samsung,47000
phone,good,Samsung,39000
phone,fair,Samsung,28000
phone,excellent,Xiaomi,23000
phone,good,Xiaomi,18000
phone,good,Realme,16000
phone,excellent,OnePlus,42000
laptop,excellent,Dell,76000
laptop,excellent,Dell,72000
laptop,good,Dell,60000
laptop,good,HP,52000
laptop,fair,HP,37000
laptop,excellent,Lenovo,69000
laptop,good,Lenovo,54000
laptop,excellent,Apple,115000
laptop,good,Apple,93000
laptop,good,Asus,57000
camera,excellent,Canon,42000
camera,good,Canon,33000
camera,fair,Canon,26000
camera,excellent,Nikon,45000
camera,good,Nikon,35000
camera,excellent,Sony,62000
camera,good,Sony,51000
camera,good,Fujifilm,58000
furniture,excellent,Regal,9000
furniture,good,Regal,5200
furniture,fair,Regal,3500
furniture,excellent,Hatil,16000
furniture,good,Hatil,10500
furniture,good,Otobi,8500
furniture,good,generic,4500
furniture,fair,generic,2800
bicycle,excellent,Phoenix,18000
bicycle,good,Phoenix,13500
bicycle,good,Duranta,11500
bicycle,fair,Duranta,8000
bicycle,good,generic,6500
appliance,excellent,Walton,22000
appliance,good,Walton,16000
appliance,good,Singer,18000
appliance,excellent,Samsung,34000
appliance,good,Samsung,26000
appliance,good,LG,28000
book,excellent,generic,1200
book,good,generic,700
book,fair,generic,350
game,excellent,Sony,48000
game,good,Sony,39000
game,good,Microsoft,36000
phone,new,Realme,36150
laptop,new,Dell,48350
camera,new,Nikon,30300
furniture,new,Otobi,19450
bicycle,new,Hero,29450
appliance,new,Whirlpool,27550
fashion,new,Aarong,7000
books,new,Cambridge,6250
gaming,new,Razer,51050
accessories,new,Generic,17700
phone,excellent,Realme,88500
laptop,excellent,Acer,140350
camera,excellent,Sony,71800
furniture,excellent,Local,33450
bicycle,excellent,Phoenix,38400
appliance,excellent,LG,58550
fashion,excellent,Sailor,9950
books,excellent,Pearson,1500
gaming,excellent,Nintendo,27350
accessories,excellent,Baseus,6900
phone,good,Xiaomi,45900
laptop,good,Asus,26250
camera,good,Nikon,77950
furniture,good,Local,16350
bicycle,good,Giant,38700
appliance,good,Samsung,28700
fashion,good,Yellow,2650
books,good,Cambridge,2850
gaming,good,Nintendo,25600
accessories,good,Samsung,10050
phone,fair,Realme,35750
laptop,fair,Lenovo,49350
camera,fair,Panasonic,7350
furniture,fair,Hatil,2900
bicycle,fair,Giant,4450
appliance,fair,Walton,27950
fashion,fair,Generic,6800
books,fair,Pearson,2250
gaming,fair,Razer,3150
accessories,fair,Apple,3850
phone,poor,Xiaomi,23650
laptop,poor,HP,11200
camera,poor,Canon,30300
furniture,poor,IKEA,550
bicycle,poor,Phoenix,13300
appliance,poor,LG,17800
fashion,poor,Aarong,2500
books,poor,Cambridge,900
gaming,poor,Nintendo,9750
accessories,poor,Generic,3150
phone,new,OnePlus,120750
laptop,new,Lenovo,51450
camera,new,Panasonic,44400
furniture,new,Regal,2900
bicycle,new,Hero,51100
appliance,new,Samsung,78150
fashion,new,Sailor,9800
books,new,OReilly,450
gaming,new,Nintendo,39900
accessories,new,Apple,20250
phone,excellent,Samsung,65250
laptop,excellent,Asus,75600
camera,excellent,Sony,78950
furniture,excellent,IKEA,26600
bicycle,excellent,Trek,62550
appliance,excellent,Singer,34950
fashion,excellent,Sailor,6650
books,excellent,Penguin,3800
gaming,excellent,Nintendo,3750
accessories,excellent,Apple,7600
phone,good,Apple,73700
laptop,good,Apple,36500
camera,good,Fujifilm,63250
furniture,good,Hatil,25800
bicycle,good,Giant,28200
appliance,good,LG,26650
fashion,good,Yellow,1600
books,good,Pearson,3500
gaming,good,Sony,35800
accessories,good,Apple,10950
phone,fair,Realme,15650
laptop,fair,Asus,40050
camera,fair,Nikon,35900
furniture,fair,Regal,5500
bicycle,fair,Duranta,11550
appliance,fair,Walton,21000
fashion,fair,Generic,4100
books,fair,Nilkhet,1100
gaming,fair,Microsoft,37400
accessories,fair,Samsung,1450
phone,poor,OnePlus,19300
laptop,poor,Asus,20700
camera,poor,Panasonic,30950
furniture,poor,Otobi,10250
bicycle,poor,Trek,12400
appliance,poor,Singer,14150
fashion,poor,Ecstasy,1850
books,poor,OReilly,1300
gaming,poor,Microsoft,13450
accessories,poor,Baseus,3600
phone,new,Apple,84600
laptop,new,Apple,55250
camera,new,Fujifilm,153100
furniture,new,Otobi,7650
bicycle,new,Trek,15450
appliance,new,Whirlpool,84850
fashion,new,Generic,17200
books,new,OReilly,2050
gaming,new,Microsoft,41350
accessories,new,Samsung,9900
phone,excellent,Apple,52850
laptop,excellent,HP,37550
camera,excellent,Sony,27050
furniture,excellent,Hatil,32950
bicycle,excellent,Trek,63750
appliance,excellent,Whirlpool,56100
fashion,excellent,Generic,11150
books,excellent,OReilly,2550
gaming,excellent,Logitech,22900
accessories,excellent,Samsung,7100
phone,good,Google,64400
laptop,good,Apple,78100
camera,good,Fujifilm,83000
furniture,good,Otobi,12200
bicycle,good,Trek,7850
appliance,good,Walton,6100
fashion,good,Aarong,5800
books,good,OReilly,3350
gaming,good,Microsoft,56150
accessories,good,Apple,11100
phone,fair,Samsung,21050
laptop,fair,Dell,75000
camera,fair,Fujifilm,18200
furniture,fair,Otobi,2900
bicycle,fair,Trek,16400
appliance,fair,Samsung,16000
fashion,fair,Sailor,7300
books,fair,Nilkhet,2400
gaming,fair,Nintendo,39350
accessories,fair,Baseus,5600
phone,poor,Apple,21450
laptop,poor,Lenovo,21000
camera,poor,Sony,37100
furniture,poor,Hatil,3300
bicycle,poor,Duranta,2500
appliance,poor,Singer,17350
fashion,poor,Yellow,150
books,poor,Pearson,1300
gaming,poor,Microsoft,3800
accessories,poor,Anker,4450
phone,new,Google,40500
laptop,new,Dell,51650
camera,new,Nikon,86400
furniture,new,Hatil,10900
bicycle,new,Duranta,16950
appliance,new,Walton,55400
fashion,new,Generic,4400
books,new,Pearson,4850
gaming,new,Logitech,20400
accessories,new,Samsung,1200
phone,excellent,Realme,74400
laptop,excellent,Apple,88200
camera,excellent,Fujifilm,80650
furniture,excellent,IKEA,9750
bicycle,excellent,Hero,31750
appliance,excellent,Samsung,68650
fashion,excellent,Generic,14650
books,excellent,OReilly,2100
gaming,excellent,Razer,44350
accessories,excellent,Samsung,14600
phone,good,Google,12050
laptop,good,Lenovo,22100
camera,good,Fujifilm,72000
furniture,good,IKEA,29700
bicycle,good,Duranta,56750
appliance,good,Singer,20900
fashion,good,Sailor,700
books,good,Pearson,3350
gaming,good,Nintendo,47550
accessories,good,Samsung,6350
phone,fair,Realme,25550
laptop,fair,Asus,49600
camera,fair,Nikon,56200
furniture,fair,Regal,16900
bicycle,fair,Hero,17000
appliance,fair,Singer,12750
fashion,fair,Sailor,1000
books,fair,Pearson,1700
gaming,fair,Microsoft,30350
accessories,fair,Apple,1050
phone,poor,Xiaomi,11750
laptop,poor,Lenovo,23300
camera,poor,Panasonic,13800
furniture,poor,Otobi,650
bicycle,poor,Hero,20350
appliance,poor,Walton,2250
fashion,poor,Sailor,3350
books,poor,Pearson,1400
gaming,poor,Microsoft,4750
accessories,poor,Baseus,2200
phone,new,Google,27450
laptop,new,Apple,136550
camera,new,Canon,60100
furniture,new,IKEA,26300
bicycle,new,Hero,34550
appliance,new,Walton,27150
fashion,new,Yellow,14450
books,new,Penguin,1250
gaming,new,Sony,32850
accessories,new,Baseus,15850
phone,excellent,Xiaomi,95100
laptop,excellent,Lenovo,115450
camera,excellent,Sony,76350
furniture,excellent,IKEA,36500
bicycle,excellent,Duranta,43100
appliance,excellent,LG,37050
fashion,excellent,Generic,1750
